name,facility_type,abbrev_location,location,latitude,longitude,date_opened,date_closed,location_descr,peak_population,date_peak,link,link2
Merced,Temporary Assembly Center,"Merced, CA","Merced, California",37.3,-120.4667,5/6/1942,9/15/1942,Located in California's central San Joaquin Valley within the town of Merced at the county fairgrounds; the buildings were sited south of the fairgrounds proper.,4508,6/3/1942,https://encyclopedia.densho.org/Merced%20(detention%20facility),
Minidoka,Concentration Camp,"Hunt, ID","Hunt, Idaho",42.6667,-114.2333,8/10/1942,10/28/1945,"Located at 4,000 feet of elevation on uneven terrain in southern Idaho, Minidoka is in the Snake River Plain of Jerome County, 15 miles east of Jerome and 15 miles north of Twin Falls. The 33,000 acres of arid desert was dominated by sagebrush; the southern boundary of the camp was formed by the man-made North Side canal.",9397,3/1/1943,https://encyclopedia.densho.org/Minidoka,
"Montreat, North Carolina",Other,"Montreat, NC","Montreat, North Carolina",35.6477865,-82.3014592,10/29/1942,5/1/1943,Mountain retreat leased by the federal government for use as a detention site,264,,"https://encyclopedia.densho.org/Montreat,%20North%20Carolina%20(detention%20facility)",
"Nyssa, Oregon",Other,"Nyssa, OR","Nyssa, Oregon",43.8819652,-117.0328646,5/20/1942,11/1/1942,"Served as the site of the first farm labor camp organized during the wartime Japanese American experience. Established as a result of the "" Oregon Plan "" for the forced removal and confinement of the state's Nikkei residents.",350,,"https://encyclopedia.densho.org/Nyssa,%20Oregon%20(detention%20facility)",
Old Raton,Department of Justice Internment Camp,"Lincoln, NN","Lincoln, New Mexico",33.4833,-105.3833,1/23/1942,12/18/1942,An abandoned Civilian Conservation Corps camp located 13 miles east of Fort Stanton internment camp in the Lincoln National Forest in southern New Mexico; also known as Baca Ranch Camp,32,1/23/1942,https://encyclopedia.densho.org/Old%20Raton%20(detention%20facility),
Owens Valley,Temporary Assembly Center,"Manzanar, CA","Manzanar, California",36.7333,-118.0667,3/21/1942,6/1/1942,Located on the site that later became the WRA-run concentration camp Manzanar.,9666,,https://encyclopedia.densho.org/Owens%20Valley%20(detention%20facility),
Pinedale,Temporary Assembly Center,"Pinedale, CA","Pinedale, California",36.84,-119.8,5/7/1942,7/23/1942,"Located 8 miles north of downtown Fresno, California.",4792,6/29/1942,https://encyclopedia.densho.org/Pinedale%20(detention%20facility),
Pomona,Temporary Assembly Center,"Pomona, CA","Pomona, California",34.05,-117.75,5/7/1942,8/24/1942,Located at the Los Angeles County Fairgrounds (Fairplex) in Southern California.,5434,7/20/1942,https://encyclopedia.densho.org/Pomona%20(detention%20facility),
Portland,Temporary Assembly Center,"Portland, OR","Portland, Oregon",45.5167,-122.6667,5/2/1942,9/10/1942,"Located at the eleven-acre Pacific International Livestock Exposition Pavilion in Portland, Oregon.",3676,6/6/1942,https://encyclopedia.densho.org/Portland%20(detention%20facility),
Poston (Colorado River),Concentration Camp,"Parker, AZ","Parker, Arizona",34.15,-114.2833,6/2/1942,11/28/1945,"Located at 320 feet of elevation in southwestern Arizona on the Colorado River Reservation in Yuma County (now La Paz), 12 miles south of the town of Parker. The Colorado River runs 2 1/2 miles to the west. The 71,000 acres in the lower Sonoran desert are near the California border. The harsh climate featured hot and humid summers and cold winter nights. Dust was a constant problem.",17814,9/2/1942,https://encyclopedia.densho.org/Poston%20(Colorado%20River),
Puyallup,Temporary Assembly Center,"Puyallup, WA","Puyallup, Washington",47.1833,-122.2833,4/28/1942,9/12/1942,"Located on the Western Washington State Fairgrounds, 35 miles south of Seattle, Washington.",7390,7/25/1942,https://encyclopedia.densho.org/Puyallup%20(detention%20facility),
Rohwer,Concentration Camp,"McGehee, AR","McGehee, Arkansas",33.75,-91.2667,9/18/1942,11/30/1945,"Located at 140 feet of elevation in Desha County in southeastern Arkansas, 110 miles southeast of Little Rock and 11 miles north of McGehee. The 10,161 acres of wooded swampland were in an impoverished area 27 miles north of the Jerome concentration camp. The Mississippi River is 5 miles to the east. Summers are hot and humid, with chiggers and mosquitoes adding to the discomfort. The site had severe drainage problems; about half of the site was under swampy water during the spring.",8475,3/11/1943,https://encyclopedia.densho.org/Rohwer,
Sacramento,Temporary Assembly Center,"Sacramento, CA","Sacramento, California",38.5667,-121.4833,5/6/1942,6/26/1942,"Located about fourteen miles northeast of downtown Sacramento, California.",4739,5/30/1942,https://encyclopedia.densho.org/Sacramento%20(detention%20facility),
Salinas,Temporary Assembly Center,"Salinas, CA","Salinas, California",36.6667,-121.65,4/27/1942,7/4/1942,"Located at the north end of the town of Salinas, California.",3594,6/23/1942,https://encyclopedia.densho.org/Salinas%20(detention%20facility),
Sand Island,U.S. Army Internment Camp,"Sand Island, Oahu, HI","Sand Island, Oahu, Hawaii",21.3,-157.8833,12/1/1941,3/1/1943,Located on a five-acre facility near Honolulu Harbor in Hawaii.,300,,https://encyclopedia.densho.org/Sand%20Island%20(detention%20facility),
San Francisco,Immigration Detention Station,"San Francisco, CA","San Francisco, California",37.7667,-122.4167,,,"Immigration and Naturalization Service (INS) detention station located on Silver Avenue in San Francisco, California.",,,https://encyclopedia.densho.org/San%20Francisco%20(detention%20facility),
Santa Anita,Temporary Assembly Center,"Arcadia, CA","Arcadia, California",34.1333,-118.0333,3/27/1942,10/27/1942,"Located at the Santa Anita Racetrack in Arcadia, California.",18719,8/23/1942,https://encyclopedia.densho.org/Santa%20Anita%20(detention%20facility),https://en.wikipedia.org/wiki/Santa_Anita_Assembly_Center
Santa Fe,Department of Justice Internment Camp,"Santa Fe, NM","Santa Fe, New Mexico",35.6833,-105.9333,2/1/1942,9/1/1946,"Located 2.5 miles west of the Santa Fe city center, this 80-acre site in northern New Mexico included a Civilian Conservation Corps (CCC) camp.",2100,6/1/1945,https://encyclopedia.densho.org/Santa%20Fe%20(detention%20facility),
Seagoville,Department of Justice Internment Camp,"Seagoville, TX","Seagoville, Texas",32.6333,-96.5333,4/12/1942,6/30/1945,"Located southeast of Dallas, this site was originally a federal prison for women.",343,5/4/1942,https://encyclopedia.densho.org/Seagoville%20(detention%20facility),
Sharp Park,Immigration Detention Station,"Sharp Park, CA","Sharp Park, California",37.6167,-122.4667,3/30/1942,,Located near Sharp Park in Northern California; set on a former state relief camp.,379,7/14/1942,https://encyclopedia.densho.org/Sharp%20Park%20(detention%20facility),
Stockton,Temporary Assembly Center,"Stockton, CA","Stockton, California",37.95,-121.2833,5/10/1942,10/17/1942,"Located at the San Joaquin County Fairgrounds in Stockton, California.",4271,5/21/1942,https://encyclopedia.densho.org/Stockton%20(detention%20facility),
Strington,U.S. Army Internment Camp,"Stringtown, OK","Stringtown, Oklahoma",34.4667,-96.05,,,"Located 5 miles north of Stringtown in southern Oklahoma. Currently a medium-security facility, the Mack Alford Correctional Center.",176,,https://encyclopedia.densho.org/Stringtown%20(detention%20facility),
Tanforan,Temporary Assembly Center,"San Bruno, CA","San Bruno, California",37.6167,-122.4,4/28/1942,10/13/1942,"Located 12 miles south of San Francisco, California.",7816,7/25/1942,https://encyclopedia.densho.org/Tanforan%20(detention%20facility),
Topaz,Concentration Camp,"Delta, UT","Delta, Utah",39.3833,-112.7167,9/11/1942,10/31/1945,"Located at 4,600 feet of elevation in west-central Utah, Topaz was set in Millard County 16 miles from the town of Delta, 125 miles southwest of Salt Lake City. Topaz Mountain was 9 miles northwest. The 19,800 acres of extremely flat terrain were within the Sevier Desert. Dust was a major problem. Temperatures range from 106 degrees in summer to below zero in winter. Vegetation is mainly high desert brush.",8130,3/17/1943,https://encyclopedia.densho.org/Topaz,
Tucson,U.S. Federal Prison,"Santa Catalina Mountains, AZ","Santa Catalina Mountains, Arizona",32.4167,-110.7,,,"Located in the Santa Catalina Mountains, northeast of Tucson, Arizona. The camp was established in 1939 within southern Arizona's Coronado National Forest to provide prison labor to build mountain highways.",46,,https://encyclopedia.densho.org/Tucson%20(detention%20facility),
Tulare,Temporary Assembly Center,"Tulare, CA","Tulare, California",36.2,-119.3333,4/20/1942,9/4/1942,Located in the southern San Joaquin Valley of California.,4978,8/11/1942,https://encyclopedia.densho.org/Tulare%20(detention%20facility),
Tule Lake,Concentration Camp,"Newell, CA","Newell, California",41.8833,-121.3667,5/27/1942,3/20/1946,"Located at an elevation of 4,000 feet on a flat treeless area in Modoc County, 35 miles southeast of Klamath Falls, Oregon, and 10 miles from the town of Tulelake. (The town is spelled as one word and the concentration camp as two.) Mt. Shasta is 50 miles away and visible on a clear day. The soil is sandy loam; vegetation is sparse grass and sagebrush. Winters are long and cold; summers are hot and dry.",18789,12/25/1944,https://encyclopedia.densho.org/Tule%20Lake,
Tule Lake isolation center,Additional Facility,"Tulelake, CA","Tulelake, California",41.95,-121.4667,3/1/1943,10/1/1942,Located 5 miles west of the Tule Lake concentration camp in the Tulelake-Butte Valley of Siskiyou County in northeastern California. Tulelake is southeast of Klamath Falls and northeast of Mt. Shasta.,,,https://encyclopedia.densho.org/Tule%20Lake%20isolation%20center%20(detention%20facility),
Tuna Canyon,Immigration Detention Station,"Tujunga, CA","Tujunga, California",34.25,-118.2833,12/16/1941,10/1/1943,"Immigration and Naturalization Service (INS) detention station located at a former Civilian Conservation Corps (CCC) camp near Pasadena in Los Angeles County, California.",,,https://encyclopedia.densho.org/Tuna%20Canyon%20(detention%20facility),
Turlock,Temporary Assembly Center,"Turlock, CA","Turlock, California",37.4833,-120.8333,4/30/1942,8/12/1942,"Located in the town of Turlock, California.",3661,6/2/1942,https://encyclopedia.densho.org/Turlock%20(detention%20facility),
"Waiakea Prison Camp, Hawai'i",U.S. Army Internment Camp,Hawai'i island,Hawai'i island,19.69265,-155.07263,9/1/1938,,"Held people of Japanese ancestry, citizens and non-citizens, and local criminals",,,"https://encyclopedia.densho.org/Waiakea%20Prison%20Camp,%20Hawai'i%20(detention%20facility)",
Yokohama Specie Bank/Honolulu Military Police Station,Other,"Honolulu, Oahu, HI","Honolulu, Oahu, Hawaii",21.3098687,-157.8631888,,,Short term holding facility located in bank building.,,,,
